"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"733",1,2,2,29,0,0,0,3
"734",1,2,2,23,0,0,13,3
"735",1,2,2,23,0,0,13,3
"736",1,3,2,28,0,0,16,3
"737",1,3,1,48,1,3,34,3
"738",2,1,2,35,0,0,512,1
"739",1,3,2,29,0,0,7,3
"740",1,3,2,29,0,0,7,3
"741",2,1,2,29,0,0,30,3
"742",1,1,2,36,1,0,78,3
"743",2,1,1,21,2,2,262,1
"744",1,3,2,24,1,0,16,3
"745",2,3,2,31,0,0,7,3
"746",1,1,2,70,1,1,71,3
"747",1,3,2,16,1,1,20,3
"748",2,2,1,30,0,0,13,3
"749",1,1,2,19,1,0,53,3
"750",1,3,2,31,0,0,7,2
"751",2,2,1,4,1,1,23,3
"752",2,3,2,6,0,1,12,3
"753",1,3,2,33,0,0,9,3
"754",1,3,2,23,0,0,7,3
"755",2,2,1,48,1,2,65,3
"756",2,2,2,0,1,1,14,3
"757",1,3,2,28,0,0,7,3
"758",1,2,2,18,0,0,11,3
"759",1,3,2,34,0,0,8,3
"760",2,1,1,33,0,0,86,3
"761",1,3,2,29,0,0,14,3
"762",1,3,2,41,0,0,7,3
"763",2,3,2,20,0,0,7,1
"764",2,1,1,36,1,2,120,3
"765",1,3,2,16,0,0,7,3
"766",2,1,1,51,1,0,77,3
"767",1,1,2,29,0,0,39,1
"768",1,3,1,30,0,0,7,2
"769",1,3,2,29,1,0,24,2
"770",1,3,2,32,0,0,8,3
"771",1,3,2,24,0,0,9,3
"772",1,3,2,48,0,0,7,3
"773",1,2,1,57,0,0,10,3
"774",1,3,2,29,0,0,7,1
"775",2,2,1,54,1,3,23,3
"776",1,3,2,18,0,0,7,3
"777",1,3,2,29,0,0,7,2
"778",2,3,1,5,0,0,12,3
"779",1,3,2,29,0,0,7,2
"780",2,1,1,43,0,1,211,3
"781",2,3,1,13,0,0,7,1
"782",2,1,1,17,1,0,57,3
"783",1,1,2,29,0,0,30,3
"784",1,3,2,29,1,2,23,3
"785",1,3,2,25,0,0,7,3
"786",1,3,2,25,0,0,7,3
"787",2,3,1,18,0,0,7,3
"788",1,3,2,8,4,1,29,2
"789",2,3,2,1,1,2,20,3
"790",1,1,2,46,0,0,79,1
"791",1,3,2,29,0,0,7,2
"792",1,2,2,16,0,0,26,3
"793",1,3,1,29,8,2,69,3
"794",1,1,2,29,0,0,30,1
"795",1,3,2,25,0,0,7,3
"796",1,2,2,39,0,0,13,3
"797",2,1,1,49,0,0,25,3
"798",2,3,1,31,0,0,8,3
"799",1,3,2,30,0,0,7,1
"800",1,3,1,30,1,1,24,3
"801",1,2,2,34,0,0,13,3
"802",2,2,1,31,1,1,26,3
"803",2,1,2,11,1,2,120,3
"804",2,3,2,0,0,1,8,1
"805",2,3,2,27,0,0,6,3
"806",1,3,2,31,0,0,7,3
"807",1,1,2,39,0,0,0,3
"808",1,3,1,18,0,0,7,3
"809",1,2,2,39,0,0,13,3
"810",2,1,1,33,1,0,53,3
"811",1,3,2,26,0,0,7,3
"812",1,3,2,39,0,0,24,3
"813",1,2,2,35,0,0,10,3
"814",1,3,1,6,4,2,31,3
"815",1,3,2,30,0,0,8,3
"816",1,1,2,29,0,0,0,3
"817",1,3,1,23,0,0,7,3
"818",1,2,2,31,1,1,37,1
"819",1,3,2,43,0,0,6,3
"820",1,3,2,10,3,2,27,3
"821",2,1,1,52,1,1,93,3
"822",2,3,2,27,0,0,8,3
"823",1,1,2,38,0,0,0,3
"824",2,3,1,27,0,1,12,3
"825",1,3,2,2,4,1,39,3
"826",1,3,2,29,0,0,6,2
"827",1,3,2,29,0,0,56,3
"828",2,2,2,1,0,2,37,1
"829",2,3,2,29,0,0,7,2
"830",2,1,1,62,0,0,80,3
"831",2,3,1,15,1,0,14,1
"832",2,2,2,0,1,1,18,3
"833",1,3,2,29,0,0,7,1
"834",1,3,2,23,0,0,7,3
"835",1,3,2,18,0,0,8,3
"836",2,1,1,39,1,1,83,1
"837",1,3,2,21,0,0,8,3
"838",1,3,2,29,0,0,8,3
"839",2,3,2,32,0,0,56,3
"840",2,1,2,29,0,0,29,1
"841",1,3,2,20,0,0,7,3
"842",1,2,2,16,0,0,10,3
"843",2,1,1,30,0,0,31,1
"844",1,3,2,34,0,0,6,1
"845",1,3,2,17,0,0,8,3
"846",1,3,2,42,0,0,7,3
"847",1,3,2,29,8,2,69,3
"848",1,3,2,35,0,0,7,1
"849",1,2,2,28,0,1,33,3
"850",2,1,1,29,1,0,89,1
"851",1,3,2,4,4,2,31,3
"852",1,3,2,74,0,0,7,3
"853",1,3,1,9,1,1,15,1
"854",2,1,1,16,0,1,39,3
"855",1,2,1,44,1,0,26,3
"856",2,3,1,18,0,1,9,3
"857",2,1,1,45,1,1,164,3
"858",2,1,2,51,0,0,26,3
"859",2,3,1,24,0,3,19,1
"860",1,3,2,29,0,0,7,1
"861",1,3,2,41,2,0,14,3
"862",1,2,2,21,1,0,11,3
"863",2,1,1,48,0,0,25,3
"864",1,3,1,29,8,2,69,3
"865",1,2,2,24,0,0,13,3
"866",2,2,1,42,0,0,13,3
"867",2,2,1,27,1,0,13,1
"868",1,1,2,31,0,0,50,3
"869",1,3,2,29,0,0,9,3
"870",2,3,2,4,1,1,11,3
"871",1,3,2,26,0,0,7,3
"872",2,1,1,47,1,1,52,3
"873",1,1,2,33,0,0,5,3
"874",1,3,2,47,0,0,9,3
"875",2,2,1,28,1,0,24,1
"876",2,3,1,15,0,0,7,1
"877",1,3,2,20,0,0,9,3
"878",1,3,2,19,0,0,7,3
"879",1,3,2,29,0,0,7,3
"880",2,1,1,56,0,1,83,1
"881",2,2,1,25,0,1,26,3
"882",1,3,2,33,0,0,7,3
"883",1,3,1,22,0,0,10,3
"884",1,2,2,28,0,0,10,3
"885",1,3,2,25,0,0,7,3
"886",1,3,1,39,0,5,29,2
"887",1,2,2,27,0,0,13,3
"888",2,1,1,19,0,0,30,3
"889",1,3,1,29,1,2,23,3
"890",2,1,2,26,0,0,30,1
"891",1,3,2,32,0,0,7,2
